PeakF	MaxF	MinF	StartF	EndF	Inflec	PRR	Sound	Dur	BW	RangeF	TrendF
759	1205.2	147.9	147.9	1205.2	2	0	TR	0.65	1057.3	8.148749155	0.122718221
1265.1	1326.2	1035	1259	1035	1	0	NSH	0.745	291.2	1.281352657	1.216425121
640.6	752.7	380.8	752.7	380.8	0	0	DC	1.071	371.9	1.976628151	1.976628151
419.9	994.6	125.5	125.5	994.6	2	0	TR	0.617	869.1	7.925099602	0.126181379
721.4	896.1	134.4	134.4	896.1	3	0	TR	0.846	761.7	6.667410714	0.149983261
1232.8	1263.5	882.6	1201	882.6	1	0	NSH	0.836	380.9	1.431565828	1.360752323
646	757.2	367.4	757.2	367.4	0	0	DC	1.084	389.8	2.060968971	2.060968971
705.2	1035	161.3	161.3	1035	2	0	TR	0.637	873.7	6.416615003	0.155845411
699.8	828.9	152.3	152.3	828.9	2	0	TR	0.601	676.6	5.442547603	0.183737483
1238.2	1276.9	1111.1	1187	1111.1	1	0	NSH	0.516	165.8	1.149221492	1.068310683
635.2	743.7	452.5	743.7	452.5	0	0	DC	1.062	291.2	1.643535912	1.643535912
656.8	1178.3	165.8	165.8	1178.3	2	0	TR	0.617	1012.5	7.106755127	0.140711194
1421.2	1460.6	967.8	1165	967.8	1	0	NSH	0.967	492.8	1.509196115	1.203761108
764.4	1021.5	385.3	669	385.3	1	0	NSH	1.381	636.2	2.651180898	1.736309369
446.8	474.9	219.5	219.5	474.9	1	0	AM	1.261	255.4	2.163553531	0.462202569
640.6	788.5	483.9	483.9	788.5	2	0	SSH	0.545	304.6	1.629468899	0.613696893
855.9	873.7	506.3	712	506.3	1	0	NSH	1.052	367.4	1.725656725	1.406280861
306.8	448	197.1	197.1	448	0	0	AM	1.23	250.9	2.272957889	0.439955357
597.5	797.5	376.4	797.5	376.4	1	0	SSH	0.496	421.1	2.118756642	2.118756642
646	797.5	479.4	645	479.4	1	0	NSH	1.045	318.1	1.663537756	1.34543179
317.6	506.3	206.1	206.1	506.3	0	0	AM	1.372	300.2	2.456574478	0.407070907
839.8	873.7	362.9	748	362.9	1	0	NSH	0.819	510.8	2.407550289	2.061173877
366.1	430.1	156.8	156.8	430.1	1	0	AM	1.339	273.3	2.742984694	0.36456638
140	190.1	120.4	190.1	166	1	0	VI	0.522	69.7	1.578903654	1.145180723
156.1	182.2	123.6	123.6	182.2	1	0	VI	0.401	58.6	1.474110032	0.678375412
183	258.2	134.6	177	199	0	0	TRR	1.503	123.6	1.918276374	0.889447236
91.5	102.3	77.1	77.1	102.3	1	0	MM	2.594	25.2	1.326848249	0.753665689
253	279.6	165.6	165.6	279.6	0	0	PRR	1.579	114	1.688405797	0.592274678
102.3	112.1	83	83	112.1	1	0	MM	2.189	29.1	1.35060241	0.740410348
258.4	319.7	155.3	155.3	319.7	0	0	PRR	1.894	164.4	2.058596265	0.485767907
59.2	70.8	44	61	44	0	0	CRK	0.813	26.8	1.609090909	1.386363636
53.8	67.6	38.5	54	38.5	1	0	CRK	0.753	29.1	1.755844156	1.402597403
53.8	69.2	40.1	57	40.1	1	0	CRK	0.66	29.1	1.725685786	1.421446384
53.8	65.3	39.3	55	39.3	0	0	CRK	0.674	26	1.661577608	1.399491094
317.6	408.5	281.7	351	408.5	0	0	WO	0.129	126.8	1.450124246	0.859241126
113	143.5	92.3	143.5	143.5	0	0	GR	0.229	51.2	1.554712893	1
113	143.5	86.8	143.5	86.8	0	0	GR	0.272	56.7	1.653225806	1.653225806
91.5	129	69	129	69	0	0	GR	0.327	60	1.869565217	1.869565217
86.1	141.3	69	141.3	69	0	0	GR	0.378	72.3	2.047826087	2.047826087
